model,dropout,surface,trial,rmse_bps,epp_bps,time_ms,epochs_trained
ICNN,0.4,24,2,637.2801550202256,0.0,2226.853132247925,159
ICNN,0.6,24,0,570.9614713381983,0.0,3117.7239418029785,223
ICNN,0.6,24,1,718.4356125223562,0.0,2887.1190547943115,200
ICNN,0.6,24,2,679.7311457797206,0.0,2454.427480697632,184
ICNN,0.2,25,0,633.469192915586,0.0,2324.5222568511963,178
ICNN,0.2,25,1,497.2339901435208,0.0,2701.606512069702,183
ICNN,0.2,25,2,389.26669927075454,0.0,2433.546543121338,175
ICNN,0.4,25,0,691.4729993595547,0.0,2044.4586277008057,163
ICNN,0.4,25,1,624.37927430658,0.0,2560.5759620666504,194
ICNN,0.4,25,2,590.4289078991012,0.0,2635.911464691162,182
ICNN,0.6,25,0,581.2998530824235,0.0,2844.0911769866943,219
ICNN,0.6,25,1,530.0023306600768,0.0,2395.6987857818604,190
ICNN,0.6,25,2,632.8672794656227,0.0,2340.874433517456,193
ICNN,0.2,26,0,666.2615926339986,0.0,2525.582790374756,197
ICNN,0.2,26,1,482.53187045404644,0.0,2006.2565803527832,159
ICNN,0.2,26,2,499.86898125145245,0.0,2732.511281967163,214
ICNN,0.4,26,0,780.925161489321,0.0,1915.2400493621826,155
ICNN,0.4,26,1,405.0596498347649,0.0,2327.6491165161133,188
ICNN,0.4,26,2,520.0739973994434,0.0,2669.8858737945557,206
ICNN,0.6,26,0,694.3818249479509,0.0,2610.461950302124,219
ICNN,0.6,26,1,410.6075180121991,0.0,2242.875814437866,185
ICNN,0.6,26,2,506.7299682576404,0.0,2253.3621788024902,184
ICNN,0.2,27,0,495.77579978658315,0.0,2763.5555267333984,209
ICNN,0.2,27,1,817.9030337954521,0.0,2274.867296218872,178
ICNN,0.2,27,2,577.3203461461945,0.0,2486.9518280029297,186
ICNN,0.4,27,0,607.1898338047782,0.0,2983.410596847534,239
ICNN,0.4,27,1,731.2801711196054,0.0,2355.858325958252,191
ICNN,0.4,27,2,457.1780888973169,0.0,2711.4052772521973,200
ICNN,0.6,27,0,628.4795935322888,0.0,2054.7611713409424,168
ICNN,0.6,27,1,718.7681144206402,0.0,2589.456081390381,216
ICNN,0.6,27,2,477.79918377067486,0.0,2595.4630374908447,209
ICNN,0.2,28,0,858.7817704749756,0.0,1994.248867034912,156
ICNN,0.2,28,1,517.8922048516384,0.0,1936.0058307647705,154
ICNN,0.2,28,2,346.81343670846167,0.0,2572.448492050171,196
ICNN,0.4,28,0,721.4792219826934,0.0,2300.8551597595215,179
ICNN,0.4,28,1,714.1710635125531,0.0,2377.854108810425,189
ICNN,0.4,28,2,408.12139919552993,0.0,2376.4026165008545,186
ICNN,0.6,28,0,559.6137599756114,0.0,2643.4719562530518,196
ICNN,0.6,28,1,715.6946689311374,0.0,1924.7052669525146,160
ICNN,0.6,28,2,594.4340975995354,0.0,2067.300796508789,169
ICNN,0.2,29,0,639.9324577154597,0.0,2229.883909225464,170
ICNN,0.2,29,1,947.545139837645,0.0,2296.8921661376953,178
ICNN,0.2,29,2,660.0094916232932,0.0,2333.3144187927246,180
ICNN,0.4,29,0,568.8558626594186,0.0,2077.763795852661,166
ICNN,0.4,29,1,740.4198309001969,0.0,2433.8200092315674,193
ICNN,0.4,29,2,502.52701855911334,0.0,2167.816638946533,176
ICNN,0.6,29,0,518.9335849831388,0.0,2526.4647006988525,204
ICNN,0.6,29,1,788.543955337855,0.0,2130.2926540374756,176
ICNN,0.6,29,2,670.7133731681421,0.0,2777.0309448242188,223
ICNN,0.2,30,0,707.8153455920975,0.0,3259.7169876098633,237
ICNN,0.2,30,1,518.3193865722645,0.0,2488.468885421753,183
ICNN,0.2,30,2,503.5463017734427,0.0,2736.3908290863037,216
ICNN,0.4,30,0,709.8799641507417,0.0,2848.42848777771,225
ICNN,0.4,30,1,424.6825602360308,0.0,2426.964282989502,183
ICNN,0.4,30,2,532.7772086940997,0.0,2903.5704135894775,231
ICNN,0.6,30,0,793.9362863925913,0.0,2059.541702270508,171
ICNN,0.6,30,1,619.8961209029595,0.0,2255.356550216675,185
ICNN,0.6,30,2,789.1798688307294,0.0,2675.069570541382,222
ICNN,0.2,31,0,731.093299052766,0.0,2128.2920837402344,166
